,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0
,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111111,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0,0,0,0,0,0,0,0,0,0
,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0
,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0
,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778
,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0
,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0
,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889
,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0
,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0
,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.111112,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.027778
,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0
,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0
,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556,0,0,0.111112,0,0,0.055556,0,0,0.111112,0,0,0.222222,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.055556
,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.027778,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0,0.055556
,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0.055556,0,0,0.027778,0,0,0.013889,0,0,0.055556,0,0,0.111111,0,0,0.055556,0,0,0.027778,0,0
